"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Longhorn","SCAG","124","none","instrument","","","","","","","A Faerûnian flute of sophisticated make, found only in areas with skilled artisans, as in great cities or elven enclaves.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Longship","PHB'24","230","none","vehicle (water)","","Speed: 3 mphCarrying Capacity: 10 tons cargo, 150 passengersCrew 40, AC 15, HP 300, Damage Threshold 15","","","","10,000 gp","Speed. A ship sailing against a strong wind moves at half speed. In a dead calm (no wind), waterborne ships can't move under sail and must be rowed. Keelboats and Rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A Rowboat can be carried and weighs 100 pounds. Crew. A ship larger than a Keelboat or Rowboat needs a crew of skilled hirelings (see ""Services"") to function. The minimum number of skilled hirelings needed to crew a ship depends on the type of ship. Passengers. The number of Small and Medium passengers the ship can accommodate using hammocks. A ship outfitted with private accommodations can carry one-fifth as many passengers. A passenger usually pays 5 SP per day for a hammock, but prices can vary from ship to ship. A small private cabin usually costs 2 GP per day. Damage Threshold. See the rules glossary. Ship Repair. Repairs to a damaged ship can be made while the vessel is berthed. Repairing 1 Hit Point of damage requires 1 day and costs 20 GP for materials and labor. If the repairs are made in a location where supplies and skilled labor are abundant, such as a city shipyard, the repair time and cost are halved."
"Longsword","PHB'24","215","none","weapon, martial weapon, melee weapon","","1d8 Slashing","Versatile (1d10)","Mastery: Sap","3 lb.","15 gp","Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"Lorehold Trinket","SCC","31","none","adventuring gear","","","","","","","When you make your character, you may roll once on the Lorehold Trinkets table, instead of on the Trinkets table in the Player's Handbook, for your starting trinket.Lorehold Trinketsd6Trinket1A map made of concentric circles that can be rotated around the page2A puzzle box bedecked with amber3A dented brass compass with a red needle4The head of a broken statue that houses the consciousness of a snarky sage5A sheet of parchment embossed with tactile lettering, glowing red6A broken dagger with a wavy blade and a serpentine hilt"
"Lute","PHB'24","221","none","instrument","","","","","2 lb.","35 gp","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Lyre","PHB'24","221","none","instrument","","","","","2 lb.","30 gp","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Mace","PHB'24","215","none","weapon, simple weapon, melee weapon","","1d6 Bludgeoning","","Mastery: Sap","4 lb.","5 gp","Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"Magnifying Glass","PHB'24","226","none","adventuring gear","","","","","","100 gp","A Magnifying Glass grants Advantage on any ability check made to appraise or inspect a highly detailed item. Lighting a fire with a Magnifying Glass requires light as bright as sunlight to focus, tinder to ignite, and about 5 minutes for the fire to ignite."
"Malice","DMG'24","91","none","adventuring gear, poison (inhaled)","","","","","","250 gp","A creature subjected to Malice must succeed on a DC 15 Constitution saving throw or have the Poisoned condition for 1 hour. The creature also has the Blinded condition while Poisoned in this way."
"Manacles","PHB'24","226","none","adventuring gear","","","","","6 lb.","2 gp","As a Utilize action, you can use Manacles to bind an unwilling Small or Medium creature within 5 feet of yourself that has the Grappled, Incapacitated, or Restrained condition if you succeed on a DC 13 Dexterity (Sleight of Hand) check. While bound, a creature has Disadvantage on attack rolls, and the creature is Restrained if the Manacles are attached to a chain or hook that is fixed in place. Escaping the Manacles requires a successful DC 20 Dexterity (Sleight of Hand) check as an action. Bursting them requires a successful DC 25 Strength (Athletics) check as an action.Each set of Manacles comes with a key. Without the key, a creature can use Thieves' Tools to pick the Manacles' lock with a successful DC 15 Dexterity (Sleight of Hand) check."
"Map","PHB'24","227","none","adventuring gear","","","","","","1 gp","If you consult an accurate Map, you gain a +5 bonus to Wisdom (Survival) checks you make to find your way in the place represented on it."
"Map or Scroll Case","PHB'24","224","none","adventuring gear","","","","","1 lb.","1 gp","A Map or Scroll Case holds up to 10 sheets of paper or 5 sheets of parchment."
"Mason's Tools","PHB'24","221","none","artisan's tools","","","","","8 lb.","10 gp","Ability: StrengthUtilize: Chisel a symbol or hole in stone (DC 10)Craft: Block and TackleArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Mastiff","PHB'24","229","none","mount","","Speed: 40, Carrying Capacity: 195 lb.","","","","25 gp",""
"Matchless Pipe","WDH","47","unknown","other","","","","","","","A switch made of flint is built into the bowl of this fine wooden smoking pipe. With a few flicks of the switch, the pipe lights itself."
"Maul","PHB'24","215","none","weapon, martial weapon, melee weapon","","2d6 Bludgeoning","Heavy, Two‑Handed","Mastery: Topple","10 lb.","10 gp","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Menga leaves (1 ounce)","ToA","205","unknown","adventuring gear","","","","","1 oz.","2 gp","The dried leaves of a menga bush can be ground, dissolved in a liquid, heated, and ingested. A creature that ingests 1 ounce of menga leaves in this fashion regains 1 hit point. A creature that ingests more than 5 ounces of menga leaves in a 24-hour period gains no additional benefit and must succeed on a DC 11 Constitution saving throw or fall unconscious for 1 hour. The unconscious creature awakens if it takes at least 5 damage on one turn.A healthy menga bush usually has 2d6 ounces of leaves. Once picked, the leaves require 1 day to dry out before they can confer any benefit."
"Merchant's Scale","PHB'14","153","none","adventuring gear","","","","","3 lb.","5 gp","A scale includes a small balance, pans, and a suitable assortment of weights up to 2 pounds. With it, you can measure the exact weight of small objects, such as raw precious metals or trade goods, to help determine their worth."
"Mess Kit","PHB'14","152","none","adventuring gear","","","","","1 lb.","2 sp","This tin box contains a cup and simple cutlery. The box clamps together, and one side can be used as a cooking pan and the other as a plate or shallow bowl."
"Midnight Tears","DMG'24","91","none","adventuring gear, poison (ingested)","","","","","","1,500 gp","A creature that ingests Midnight Tears suffers no effect until the stroke of midnight. Any effect that ends the Poisoned condition neutralizes this poison. If the poison hasn't been neutralized before midnight, the creature makes a DC 17 Constitution saving throw, taking 31 (9d6) Poison damage on a failed save or half as much damage on a successful one."
"Military Saddle","PHB'24","230","none","tack and harness","","","","","30 lb.","20 gp","A saddle comes with a bit, a bridle, reins, and any other equipment needed to use the saddle. A Military Saddle gives Advantage on any ability check you make to remain mounted."
"Miner's Pick","PHB'14","150","none","adventuring gear","","","","","10 lb.","2 gp",""
"Mirror","PHB'24","227","none","adventuring gear","","","","","½ lb.","5 gp","A handheld steel Mirror is useful for personal cosmetics but also for peeking around corners and reflecting light as a signal."
"Monster Hunter's Pack","VRGR","34","none","adventuring gear","","","","","48½ lb.","33 gp","Includes:a chesta crowbara hammerthree wooden stakesa holy symbola flask of holy watera set of manaclesa steel mirrora flask of oila tinderbox3 torches"
"Moorbounder","EGW","132","none","mount","","","","","","400 gp","Beasts of burden are common throughout Xhorhas, and often horses and other riding animals are the best or only option. For those who require speed and have a little more coin to spend, the best option is often a moorbounder. However, moorbounders that haven't undergone proper training or established bonds of trust with their masters tend to attack and even eat their riders.Moorbounders can cost anywhere from 300 to 500 gp each. They're often cheaper and more abundant in towns on the wastes than in cities like Rosohna."
"Morningstar","PHB'24","215","none","weapon, martial weapon, melee weapon","","1d8 Piercing","","Mastery: Sap","4 lb.","15 gp","Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"Mournland Trinket","ERLW","222","none","adventuring gear","","","","","","","Mournland Trinketsd10Trinket1The favorite childhood toy of one of the adventurers, floating in midair2A tin whistle that makes beautiful colors and patterns magically appear when it's played3A toy lightning rail car4A glass eye5A silver lapel pin of a finely detailed gorgon's head with ruby eyes6A monocle that can be used as a telescope7A six-inch-tall mechanical marmoset in need of minor repairs8A small medallion made of silver, depicting a tower with an eye at the top of it and other smaller eyes embedded in the sides9A cloak pin made of iron in the shape of two hammers joined by a semicircular haft10A wooden dinosaur toy that has movable legs"
"Mule","PHB'24","229","none","mount","","Speed: 40, Carrying Capacity: 420 lb.","","","","8 gp",""
"Murgaxor's Elixir of Life","SCC","179","unknown","adventuring gear","","","","","","","Whoever drinks this concoction gains advantage on death saving throws for 24 hours."
"Muroosa Balm","EGW","70","none","adventuring gear","","","","","","100 gp","This paste made from the muroosa bush is known to help prevent sunburn, but it is also a fire retardant. After spending 1 minute applying a quarter pint of muroosa balm to your skin, you gain resistance against fire damage for 1 hour.A dose of muroosa balm sufficient for treating sunburn costs 1 gp."
"Musical Instrument","PHB'24","221","none","instrument","","","","","","","If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.Multiple variations of this item exist, as listed below:BagpipesDrumDulcimerFluteHornLuteLyrePan FluteShawmViol"
"Musket","PHB'24","215","none","weapon, martial weapon, ranged weapon, firearm","","1d12 Piercing","Ammunition (Range 40/120 ft.; Firearm Bullet), Loading, Two‑Handed","Mastery: Slow","10 lb.","500 gp","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"Narycrash","DSotDQ","188","none","adventuring gear","","","","","","","This backpack-sized device holds a balloon-based parachute. If you fall while wearing this device, you can use your reaction to deploy the parachute. Once deployed, the parachute rapidly inflates, and you descend 60 feet per round and take no damage from falling. When you are 10 feet away from the ground, roll a d20. If you roll a 5 or less, the parachute gives out, and you begin to fall normally."
"Nautiloid","AAG","38","none","vehicle (space)","","Speed: 4½ mphCarrying Capacity: 17 tons cargoCrew 20, AC 15, HP 400, Damage Threshold 15","","","","50,000 gp","Built and used by mind flayers, nautiloids are designed exclusively for space travel. They can't float on water, nor can they land safely on the ground.As an action, a creature attuned to a nautiloid's spelljamming helm and in physical contact with the ship can transport the nautiloid and all creatures and objects aboard it to a different plane of existence, at or near a destination envisioned by the spelljammer (or to a random location on the plane if no destination is envisioned). This property is a feature of the ship, not the spelljamming helm. Each time this property is used, roll a d6. On a 5–6, the property recharges after 1 minute; otherwise, it can't be used again for 24 hours."
"Navigator's Tools","PHB'24","221","none","tool","","","","","2 lb.","25 gp","Ability: WisdomUtilize: Plot a course (DC 10), or determine position by stargazing (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Needle","PHB'24","222","none","ammunition","","","","","0.32 oz.","2 cp","Blowgun needles are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Needles are typically stored in a Pouch (bought separately)."
"Needles (50)","PHB'24","222","none","ammunition","","","","","1 lb.","1 gp","Blowgun needles are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Needles are typically stored in a Pouch (bought separately)."
"Net","PHB'24","227","none","adventuring gear","","","","","3 lb.","1 gp","When you take the Attack action, you can replace one of your attacks with throwing a Net. Target a creature you can see within 15 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or have the Restrained condition until it escapes. The target succeeds automatically if it is Huge or larger.To escape, the target or a creature within 5 feet of it must take an action to make a DC 10 Strength (Athletics) check, freeing the Restrained creature on a success. Destroying the Net (AC 10; 5 HP; Immunity to Bludgeoning, Poison, and Psychic damage) also frees the target, ending the effect."
"Nightspider","AAG","40","none","vehicle (space)","","Speed: 4½ mphCarrying Capacity: 50 tons cargoCrew 25, AC 19, HP 300, Damage Threshold 15","","","","50,000 gp","Neogi terrorize Wildspace in ships of their own construction, which others call nightspiders. These vessels often wait in ambush for other ships. Once a target ship is identified, the neogi try to steal its spelljamming helm and capture its crew.A nightspider's crew usually consists of nineteen neogi and up to a half-dozen umber hulks, which the neogi use as shock troops.Nightspiders are designed for space travel alone and can't float on water or land safely on the ground (the weight of the ship would snap its spindly legs, destroying its weblike rigging in the process). Standard weaponry on a nightspider includes four ballistae (two forward-facing and two aft-facing) and a forward-facing mangonel."
"Nimblewright Detector","WDH","47","unknown","other","","","","","","","To activate the nimblewright detector, a character must hold down its trigger. When the activated device comes within 500 feet of a nimblewright other than Nim, the umbrella begins to spin, whir, and click. The spinning, whirring, and clicking accelerates as the distance to the target lessens, reaching maximum velocity and volume when a nimblewright other than Nim is within 30 feet of the device."
"Oil","PHB'24","227","none","adventuring gear","","","","","1 lb.","1 sp","You can douse a creature, object, or space with Oil or use it as fuel, as detailed below. Dousing a Creature or an Object. When you take the Attack action, you can replace one of your attacks with throwing an Oil flask. Target one creature or object within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or be covered in oil. If the target takes Fire damage before the oil dries (after 1 minute), the target takes an extra 5 Fire damage from burning oil. Dousing a Space. You can take the Utilize action to pour an Oil flask on level ground to cover a 5-foot-square area within 5 feet of yourself. If lit, the oil burns until the end of the turn 2 rounds from when the oil was lit (or 12 seconds) and deals 5 Fire damage to any creature that enters the area or ends its turn there. A creature can take this damage only once per turn. Fuel. Oil serves as fuel for Lamps and Lanterns. Once lit, a flask of Oil burns for 6 hours in a Lamp or Lantern. That duration doesn't need to be consecutive; you can extinguish the burning Oil (as a Utilize action) and rekindle it again until it has burned for a total of 6 hours."
"Oil of Taggit","DMG'24","91","none","adventuring gear, poison (contact)","","","","","","400 gp","A creature subjected to Oil of Taggit must succeed on a DC 13 Constitution saving throw or have the Poisoned condition for 24 hours. The creature also has the Unconscious condition while Poisoned in this way. It wakes up if it takes damage."
"Olisuba Leaf","EGW","70","none","adventuring gear","","","","","","50 gp","These dried leaves of the Olisuba tree, when steeped to make a tea, can help a body recover from strenuous activity. If you drink a dose of Olisuba tea during a long rest, your exhaustion level is reduced by 2 instead of 1 at the end of that long rest."
"Oloore Root Teabag","TDCSR","85","unknown","illegal drug","","","","","","100 gp","This root is typically sold in teabags for 100 gp per dose. It was originally a ritualistic tool used by the followers of many gods, but now sees more recreational use. Oracles used it to enhance their divinations, for it helped them leave their physical bodies behind and become closer to gods and spirits. Drinking tea brewed from the root causes intense hallucinations, which feel like they have granted perfect clarity of mind to the imbiber.After drinking oloore tea as an action, you must succeed on a DC 19 Constitution saving throw or experience vivid hallucinations for 1d4 hours. During this time, you have disadvantage on attack rolls and ability checks. If you fail the saving throw by 10 or more, your hallucinations become horrific visions and you gain a level of exhaustion. On a success, you gain preternatural clarity, allowing you to cast the scrying spell once within the next 1d4 hours.This item is an illegal drug; see Illegal Drugs for more information."
"Orb","PHB'24","224","none","spellcasting focus","","","","","3 lb.","20 gp","An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus."
"Oversized Longbow","WDH","201","unknown","weapon, martial weapon, ranged weapon","","2d6 Piercing","ammunition (150/600 ft.), heavy, two‑handed","","2 lb.","","This unique weapon can be used only by a Medium or larger creature that has a Strength of 18 or higher. The bow shoots oversized arrows that deal piercing damage equal to 2d6 + the wielder's Strength modifier. Range. A weapon that can be used to make a ranged attack has a range shown in parentheses after the ammunition or thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second indicates the weapon's maximum range. When attacking a target beyond normal range, you have disadvantage on the attack roll. You can't attack a target beyond the weapon's long range. Ammunition. You can use a weapon that has the ammunition property to make a ranged attack only if you have ammunition to fire from the weapon. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack. Loading a one-handed weapon requires a free hand. At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.If you use a weapon that has the ammunition property to make a melee attack, you treat the weapon as an improvised weapon. A sling must be loaded to deal any damage when used in this way. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Ox","DMG'24","213","none","trade good","","","","","","15 gp","Merchants commonly exchange trade goods without using currency."
"Pack Saddle","PHB'14","157","none","tack and harness","","","","","15 lb.","5 gp",""
"Padded Armor","PHB'24","219","none","light armor","","AC 11 + Dex","","","8 lb.","5 gp","The wearer has Disadvantage on Dexterity (Stealth) checks."
"Painter's Supplies","PHB'24","221","none","artisan's tools","","","","","5 lb.","10 gp","Ability: WisdomUtilize: Paint a recognizable image of something you've seen (DC 10)Craft: Druidic Focus, Holy SymbolArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Pale Tincture","DMG'24","91","none","adventuring gear, poison (ingested)","","","","","","250 gp","A creature subjected to Pale Tincture must succeed on a DC 16 Constitution saving throw or take 3 (1d6) Poison damage and have the Poisoned condition. The Poisoned creature repeats the save every 24 hours, taking 3 (1d6) Poison damage on a failed save. The damage the poison deals can't be healed by any means while the creature remains Poisoned. After seven successful saves against the poison, the creature is no longer Poisoned."
"Pan Flute","PHB'24","221","none","instrument","","","","","2 lb.","12 gp","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Paper","PHB'24","227","none","adventuring gear","","","","","","2 sp","One sheet of Paper can hold about 250 handwritten words."
"Parchment","PHB'24","227","none","adventuring gear","","","","","","1 sp","One sheet of Parchment can hold about 250 handwritten words."
"Pepper","DMG'24","213","none","trade good","","","","","1 lb.","2 gp","Merchants commonly exchange trade goods without using currency."
"Perfume","PHB'24","227","none","adventuring gear","","","","","","5 gp","Perfume comes in a 4-ounce vial. For 1 hour after applying Perfume to yourself, you have Advantage on Charisma (Persuasion) checks made to influence an Indifferent Humanoid within 5 feet of yourself."
"Pig","DMG'24","213","none","trade good","","","","","","3 gp","Merchants commonly exchange trade goods without using currency."
"Pike","PHB'24","215","none","weapon, martial weapon, melee weapon","","1d10 Piercing","Heavy, Reach, Two‑Handed","Mastery: Push","18 lb.","5 gp","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"Pistol","PHB'24","215","none","weapon, martial weapon, ranged weapon, firearm","","1d10 Piercing","Ammunition (Range 30/90 ft.; Firearm Bullet), Loading","Mastery: Vex","3 lb.","250 gp","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Pitcher","PHB'14","153","none","adventuring gear","","","","","4 lb.","2 cp","A pitcher holds 1 gallon of liquid."
"Piton","PHB'14","150","none","adventuring gear","","","","","¼ lb.","5 cp",""
"Plainscow","TDCSR","248","none","mount","","Speed: 40, Carrying Capacity: 1500 lb.","","","","200 gp","The hulking plainscow is an exceptionally sturdy beast of burden native to the Dividing Plains and used by the people of central Tal'Dorei for centuries. Though many wild herds still roam the plains, domesticated plainscows are more common, used as mounts, pack animals, and livestock. Plainscows are unusually empathetic for beasts, and often bond with a rider for life. They stand 6 feet tall, weigh about two tons, and live for 70 years. Market Value. Plainscows can be bought in Westruun for 200 gp. A plainscow has a carrying capacity of 1,500 pounds."
"Planar Philosopher Trinket","SatO","8","none","adventuring gear","","","","","","","d6Trinket1Locket with a picture of my mentor and an inscription I can't read2Bleached cranium rat skull with colored glass beads in its eye sockets3Torn parchment with half a rebus painted on it4Bracelet of twisted razorvine stems5Fragment of a bronze blade covered in verdigris6Broken holy symbol of a forgotten god"
"Plate Armor","PHB'24","219","none","heavy armor","","AC 18","","","65 lb.","1,500 gp","The wearer has Disadvantage on Dexterity (Stealth) checks.If the wearer has a Strength score lower than 15, their speed is reduced by 10 feet."
"Platinum","DMG'24","213","none","trade good","","","","","1 lb.","500 gp","Merchants commonly exchange trade goods without using currency."
"Playing Cards","PHB'24","221","none","gaming set","","","","","","5 sp","Ability: WisdomUtilize: Discern whether someone is cheating (DC 10), or win the game (DC 20)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Poisoner's Kit","PHB'24","221","none","tool","","","","","2 lb.","50 gp","Ability: IntelligenceUtilize: Detect a poisoned object (DC 10)Craft: Basic PoisonIf you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Pole","PHB'24","228","none","adventuring gear","","","","","7 lb.","5 cp","A Pole is 10 feet long. You can use it to touch something up to 10 feet away. If you must make a Strength (Athletics) check as part of a High or Long Jump, you can use the Pole to vault, giving yourself Advantage on the check."
"Pony","PHB'24","229","none","mount","","Speed: 40, Carrying Capacity: 225 lb.","","","","30 gp",""
"Portable Ram","PHB'24","228","none","adventuring gear","","","","","35 lb.","4 gp","You can use a Portable Ram to break down doors. When doing so, you gain a +4 bonus to the Strength check. One other character can help you use the ram, giving you Advantage on this check."
"Potter's Tools","PHB'24","221","none","artisan's tools","","","","","3 lb.","10 gp","Ability: IntelligenceUtilize: Discern what a ceramic object held in the past 24 hours (DC 15)Craft: Jug, LampArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Pouch","PHB'24","228","none","adventuring gear","","","","","1 lb.","5 sp","A Pouch holds up to 6 pounds within one-fifth of a cubic foot."
"Pride Silk","EGW","103","none","adventuring gear","","","","","1 lb.","100 gp","The hearty silk unique to the region has long been a point of pride with the locals. When processed and woven properly, the resulting cloth is pride silk: an extremely flexible material with the durability of tanned leather. Pride silk has become a favorite cloth for use on military ship sails, war banners, and other utilitarian applications, but has also gained popularity in affluent circles. High-end clothing made from pride silk is both fashionable and protective, leading many nobles and wealthy merchants to seek full outfits and formal gowns made with it. The tailors skilled enough to create such outfits are few and far between, so while pride silk might be expensive as a raw material, outfits made of the cloth are prohibitively expensive for most common folk."
"Pride Silk Outfit","EGW","103","none","adventuring gear","","","","","4 lb.","500 gp","An outfit made of pride silk weighs 4 pounds and costs 500 gp. If you aren't wearing armor, your base Armor Class is 11 + your Dexterity modifier while wearing it."
"Priest's Pack","PHB'24","228","none","adventuring gear","","","","","29 lb.","33 gp","A Priest's Pack contains the following items: Backpack, Blanket, Holy Water, Lamp, 7 days of Rations, Robe, and Tinderbox."
"Prismari Trinket","SCC","32","none","adventuring gear","","","","","","","When you make your character, you may roll once on the Prismari Trinkets table, instead of on the Trinkets table in the Player's Handbook, for your starting trinket.Prismari Trinketsd6Trinket1A pair of rose-tinted glasses with glittery frames2A stoppered glass bottle that, when opened, plays a brassy orchestral piece3A quartet of hovering water motes in a vial4A bandolier of watercolor paints5A tiara capped with a crystal that crackles with harmless lightning6An iridescent quill"
"Psychic Blade","PHB'24","136","none","weapon, simple weapon, melee weapon","","1d6 Psychic","Finesse, Thrown (60/120 ft.)","Mastery: Vex (you can use this property, and it doesn't count against the number of properties you can use with Weapon Mastery)","","","Finesse. When making an attack with a Finesse weapon, use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Purple Worm Poison","DMG'24","91","none","adventuring gear, poison (injury)","","","","","","2,000 gp","A creature subjected to Purple Worm Poison makes a DC 21 Constitution saving throw, taking 35 (10d6) Poison damage on a failed save or half as much damage on a successful one."
"Quandrix Trinket","SCC","33","none","adventuring gear","","","","","","","When you make your character, you may roll once on the Quandrix Trinkets table, instead of on the Trinkets table in the Player's Handbook, for your starting trinket.Quandrix Trinketsd6Trinket1A small succulent in a dodecahedral clay pot2A blue knit hat that looks a bit like a bottle folding in on itself3A model hypercube carved from green crystal, showcasing the fourth dimension4A crumpled test on the theory of gravity manipulation, with a failing grade on the front and the name of a famous Quandrix professor5A blue tetrahedron that, when tapped twice, projects a recording of an old mathematics lecture6A round bread roll cut so that someone could spread butter on both halves without ever lifting the knife"
